Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,0.690000,0.700000,0.650000,0.680000,0.680000,483100
2020-01-28,0.690000,0.700000,0.670000,0.690000,0.690000,311800
2020-01-29,0.710000,0.730000,0.700000,0.710000,0.710000,182700
2020-01-30,0.700000,0.710000,0.650000,0.670000,0.670000,306600
2020-01-31,0.690000,0.690000,0.650000,0.660000,0.660000,350100
2020-02-03,0.670000,0.690000,0.650000,0.670000,0.670000,288800
2020-02-04,0.670000,0.730000,0.670000,0.720000,0.720000,657800
2020-02-05,0.740000,0.750000,0.720000,0.730000,0.730000,423100
2020-02-06,0.730000,0.730000,0.680000,0.690000,0.690000,361600
2020-02-07,0.690000,0.700000,0.670000,0.690000,0.690000,236200
2020-02-10,0.700000,0.700000,0.680000,0.700000,0.700000,365400
2020-02-11,0.690000,0.700000,0.660000,0.700000,0.700000,330000
2020-02-12,0.680000,0.700000,0.660000,0.680000,0.680000,335500
2020-02-13,0.670000,0.670000,0.650000,0.670000,0.670000,448000
2020-02-14,0.670000,0.750000,0.660000,0.730000,0.730000,959800
2020-02-18,0.720000,0.790000,0.700000,0.770000,0.770000,863200
2020-02-19,0.790000,0.790000,0.650000,0.690000,0.690000,1882100
2020-02-20,0.700000,0.710000,0.670000,0.690000,0.690000,420000
2020-02-21,0.630000,0.650000,0.580000,0.630000,0.630000,1442900
2020-02-24,0.610000,0.630000,0.590000,0.610000,0.610000,566100
2020-02-25,0.610000,0.630000,0.570000,0.570000,0.570000,692200
2020-02-26,0.570000,0.570000,0.530000,0.550000,0.550000,1121500
2020-02-27,0.500000,0.530000,0.400000,0.520000,0.520000,1274300
2020-02-28,0.490000,0.570000,0.490000,0.570000,0.570000,781900
2020-03-02,0.570000,0.590000,0.530000,0.560000,0.560000,302600
2020-03-03,0.500000,0.560000,0.500000,0.540000,0.540000,441800
2020-03-04,0.540000,0.570000,0.520000,0.560000,0.560000,377700
2020-03-05,0.570000,0.570000,0.520000,0.530000,0.530000,357300
2020-03-06,0.540000,0.560000,0.510000,0.510000,0.510000,375800
2020-03-09,0.500000,0.500000,0.450000,0.470000,0.470000,470800
2020-03-10,0.460000,0.500000,0.460000,0.470000,0.470000,274300
2020-03-11,0.480000,0.490000,0.400000,0.400000,0.400000,883400
